sample_size,method,n_sims,MSE,RMSE,MAE
300,RCspline (df=3),300,1.733221417452399e-5,0.0041631975901371765,0.003314388730994247
300,RCspline (df=4),300,8.71108506820986e-6,0.0029514547376183597,0.0022182752028203387
300,RCspline (df=5),300,1.0085986871710407e-5,0.0031758442769931916,0.0024570971641034744
300,Knot-search RCspline,300,1.2793537315128462e-5,0.0035768054622985104,0.0026788112618438237
500,RCspline (df=3),300,1.5678544554847464e-5,0.00395961419267679,0.0031689236228037614
500,RCspline (df=4),300,5.194197587357487e-6,0.002279078231952007,0.0017547388577144826
500,RCspline (df=5),300,6.453285590408244e-6,0.0025403317874656143,0.0019693539116487713
500,Knot-search RCspline,300,7.245120776946074e-6,0.002691676202098996,0.0020239753510302317
1000,RCspline (df=3),300,1.4471666309280548e-5,0.0038041643378382787,0.0030958164443615666
1000,RCspline (df=4),300,3.4866245047119885e-6,0.001867250520072759,0.0014163507145430827
1000,RCspline (df=5),300,3.5284865890865487e-6,0.0018784266259523018,0.0014557179459951874
1000,Knot-search RCspline,300,3.5943567207885597e-6,0.0018958788781956932,0.0014073534298930583
3000,RCspline (df=3),300,1.3495338248801266e-5,0.003673600175413931,0.003030814677114783
3000,RCspline (df=4),300,2.1352368934750184e-6,0.0014612449806500683,0.0010819260079886052
3000,RCspline (df=5),300,1.5660267932281077e-6,0.0012514099221390678,9.578218169914536e-4
3000,Knot-search RCspline,300,1.3973437876173446e-6,0.0011820929691091749,8.834659023114702e-4
5000,RCspline (df=3),300,1.3426779521449045e-5,0.003664257021750664,0.003013851084375459
5000,RCspline (df=4),300,1.92736704429272e-6,0.0013882964540373644,0.0010231905310161583
5000,RCspline (df=5),300,1.1333369587805767e-6,0.0010645829976007398,8.115881558634046e-4
5000,Knot-search RCspline,300,8.802685314320241e-7,9.382262687816965e-4,7.024392111795217e-4
