scenario,method,n_sims,MISE
Unimodal,Knot-search RCspline,300,1.5434192076939465e-5
Unimodal,Term-search RCspline,300,1.2472827721262346e-4
Unimodal,Polynomial (df=5),300,1.1909659594714251e-5
Damped exponential,Knot-search RCspline,300,1.3249961919227473e-5
Damped exponential,Term-search RCspline,300,7.598672253684733e-5
Damped exponential,Polynomial (df=5),300,6.22561908625429e-6
Bimodal 1,Knot-search RCspline,300,7.723764941229155e-5
Bimodal 1,Term-search RCspline,300,3.8208242756283436e-5
Bimodal 1,Polynomial (df=5),300,6.515366012537685e-5
Bimodal 2,Knot-search RCspline,300,9.037232295410996e-5
Bimodal 2,Term-search RCspline,300,7.272584713345566e-4
Bimodal 2,Polynomial (df=5),300,2.3903418799422642e-4
Null effects,Knot-search RCspline,300,2.082833598461289e-6
Null effects,Term-search RCspline,300,2.9383415555299335e-5
Null effects,Polynomial (df=5),300,2.8187637283485483e-6
Constant positive effects,Knot-search RCspline,300,1.254403266169728e-4
Constant positive effects,Term-search RCspline,300,0.0014368590301682912
Constant positive effects,Polynomial (df=5),300,1.4534642801278377e-4
