events,proportion,method,n_sims,MSE,RMSE,MAE
61,1%,Knot-search RCspline,300,1.5514939372325542e-5,0.003938900782239322,0.0029591103183199755
61,1%,Term-search RCspline,300,2.678487309684925e-5,0.0051754104278645624,0.0038301300874435513
61,1%,Polynomial (df=5),300,1.3654810586045817e-5,0.003695241614028211,0.0027196460425208957
240,5%,Knot-search RCspline,300,3.940601055899932e-6,0.0019850947221480217,0.0014640002902024084
240,5%,Term-search RCspline,300,9.458285883853813e-6,0.0030754326336068253,0.0022078576459339254
240,5%,Polynomial (df=5),300,3.6040259709082303e-6,0.0018984272361373849,0.0013776633093630065
537,11%,Knot-search RCspline,300,1.9885389083425293e-6,0.001410155632667022,0.0010443920885471556
537,11%,Term-search RCspline,300,5.30405156979748e-6,0.00230305266327053,0.001603564325646439
537,11%,Polynomial (df=5),300,1.6029051819826092e-6,0.0012660589172635724,9.25618516820023e-4
1379,28%,Knot-search RCspline,300,9.505096626163747e-7,9.749408508296155e-4,7.219388551242891e-4
1379,28%,Term-search RCspline,300,2.2977173156830925e-6,0.0015158223232566185,0.0010299265848032618
1379,28%,Polynomial (df=5),300,6.469236873844195e-7,8.043156640178156e-4,5.905105803248549e-4
