sample_size,method,n_sims,MSE,RMSE,MAE
300,Knot-search RCspline,300,1.2708973078631608e-5,0.003564964667234671,0.0027311172815921176
300,Term-search RCspline,0,NA,NA,NA
300,Polynomial (df=5),300,1.1292041857949908e-5,0.0033603633520721994,0.0024675088257574015
500,Knot-search RCspline,300,7.359598769532365e-6,0.002712858044485993,0.0020241318088984254
500,Term-search RCspline,0,NA,NA,NA
500,Polynomial (df=5),300,6.447995488250556e-6,0.0025392903513089156,0.0018364913108852119
1000,Knot-search RCspline,300,3.69555176037701e-6,0.0019223817936031879,0.0014431546952833742
1000,Term-search RCspline,300,9.5498493401865008e-06,0.0030902830517909683,0.0021637504006954606
1000,Polynomial (df=5),300,3.2245694825422197e-6,0.001795708629634056,0.0013187798415013282
3000,Knot-search RCspline,300,1.3800738202192674e-6,0.0011747654319987746,8.749498492470216e-4
3000,Term-search RCspline,300,3.1893177539075124e-6,0.0017858661074972872,0.001264100269347205
3000,Polynomial (df=5),300,1.0950744559199024e-6,0.0010464580526327381,7.79469373904389e-4
5000,Knot-search RCspline,300,8.725140379714977e-7,9.340845989371079e-4,6.94050505610195e-4
5000,Term-search RCspline,300,2.3452649024403684e-6,0.0015314257743816277,0.0010489401491143508
5000,Polynomial (df=5),300,7.177715835426384e-7,8.472140128342061e-4,6.245674287653306e-4
