sample_size,method,mean_time
300,RCspline (df=3),0.01767666666666665
300,RCspline (df=4),0.016336666666666676
300,RCspline (df=5),0.033990000000000006
300,Knot-search RCspline,4.561393333333333
500,RCspline (df=3),0.025133333333333355
500,RCspline (df=4),0.028400000000000012
500,RCspline (df=5),0.05606666666666668
500,Knot-search RCspline,6.8392366666666655
1000,RCspline (df=3),0.05380999999999998
1000,RCspline (df=4),0.06208999999999996
1000,RCspline (df=5),0.1088199999999999
1000,Knot-search RCspline,13.85654
3000,RCspline (df=3),0.2581700000000002
3000,RCspline (df=4),0.17899666666666655
3000,RCspline (df=5),0.16988333333333366
3000,Knot-search RCspline,43.27865666666668
5000,RCspline (df=3),0.2642766666666667
5000,RCspline (df=4),0.5233833333333335
5000,RCspline (df=5),0.2931866666666664
5000,Knot-search RCspline,73.8605766666667
